Flop,Hand,Weight IP,Matchups,IP Equity,IP EV,IP EQR,BET 1101 freq,BET 1101 EV,BET 875 freq,BET 875 EV,BET 438 freq,BET 438 EV,CHECK freq,CHECK EV
Tc 8c 5d,5c4c,0.414999992,74239875,64.9012864,1579.77673,139.0927068,3.3248860371,1577.78259,82.045418764,1579.87732,5.794241871,1579.67188,8.8354533276,1579.65137
Tc 8c 5d,6c5c,0.300000012,53345.7383,66.7410135,1632.21619,139.7483971,5.5889912855,1626.65186,76.283978629,1632.72095,17.377337957,1631.77307,0.74969212917,1632.46741
Tc 8c 5d,7c6c,0.294999987,52308.6562,58.5565031,1826.65601,178.25576649,0,1826.61011,16.553881821,1826.76343,44.19211186,1826.41614,39.254006319,1826.87903
Tc 8c 5d,Jc9c,0.814999998,144730703,63.115716,2082.10767,188.50706081,0.27464424422,2081.85132,49.213105692,2082.79346,39.968608012,2081.26855,10.543642052,2082.08521
Tc 8c 5d,Qc9c,375,65785.6328,56.3877821,1721.17542,174.42232604,0.24197928515,1721.0094,16.226538868,1721.80444,43.498320892,1720.74048,40.033160955,1721.39233
Tc 8c 5d,QcJc,1,179501594,57.8292549,1809.50696,178.80292232,0.63270986507,1809.05078,63.35517739,1809.87903,31.573430182,1808.77832,4.4386825627,1809.42273
Tc 8c 5d,QcJd,0.0250000004,4420.08545,37.5647366,901.717834,137.16782822,1.5744402015,901.503845,31.816630241,902.226074,66.608929557,901.479126,0,881.930115
Tc 8c 5d,QcJh,0.0250000004,4420.0874,37.4162614,888.671387,135.71965828,0,888.138672,72.397625184,888.967163,27.602374816,887.893494,0,856.837891
Tc 8c 5d,QcJs,0.0250000004,4420.08545,37.4162793,888.671387,135.71959335,0,888.138794,72.39776791,888.967163,27.60223209,887.893494,0,856.837891
Tc 8c 5d,Kc6c,0.119999997,21310.8418,48.6452311,1297.76978,152.4471597,0,1297.26477,30.444619237,1298.43652,34.216247517,1297.20471,35.339133246,1297.7406
Tc 8c 5d,Kc9c,1,177404516,51.3970137,1381.83093,153.63104146,0.49577982445,1381.52502,51.081125151,1382.28003,34.92300195,1381.21155,13.500093075,1381.74084
Tc 8c 5d,KcJc,1,179762469,53.0206978,1448.5835,156.12054053,0.60901390398,1448.21631,57.221609339,1448.9646,35.025654667,1447.97668,7.1437220898,1448.52612
Tc 8c 5d,KcQc,1,179122234,53.7113905,1421.57092,151.23910076,0.47432869598,1421.2832,52.819120307,1421.98474,38.408854698,1421.00378,8.2976962981,1421.56592
Tc 8c 5d,KcJd,0.219999999,39177043,30.2178413,525.228027,99.32221768,0,524.979614,75.986303767,525.618286,20.635846946,523.791382,3.3778492874,525.21875
Tc 8c 5d,KcQd,0.764999986,135329484,31.2438071,482.301575,88.209768777,0,481.945129,69.307406943,482.623688,25.396030276,481.430023,5.2965627808,482.260468
Tc 8c 5d,KcJh,0.219999999,39177.0352,30.0740063,503.795776,95.724958524,0,502.935699,79.329056609,503.880096,9.7407165264,503.268829,10.930226865,503.651276
Tc 8c 5d,KcQh,0.764999986,135329484,31.1001033,459.051483,84.345421818,1.299598788,457.982666,64.448790822,459.388031,21.416248435,458.223572,12.835361955,458.849152
Tc 8c 5d,KcJs,0.219999999,39177043,30.0740004,503.795807,95.724983194,0,502.935608,79.328763534,503.880157,9.7407943386,503.268951,10.930442127,503.651276
Tc 8c 5d,KcQs,0.764999986,135329469,31.1001211,459.051514,84.345379239,1.2995522075,457.982635,64.44890744,459.388092,21.416200839,458.223633,12.835339513,458.849152
Tc 8c 5d,Ac3c,0.155000001,27327.2324,52.2375226,1507.57849,164.91467818,15.001654956,1501.67639,43.119930498,1509.60535,33.338708856,1507.55725,8.5397056897,1507.7843
