"Data","Da Estrazione","A Estrazione","GAP","BetType","Profit"
"04-12-2024, 16:40:26","4499","4599","100","vicini dello zero","230.0"
"04-12-2024, 16:40:26","18299","18399","100","vicini dello zero","136.0"
"04-12-2024, 16:40:26","24599","24699","100","vicini dello zero","186.0"
"04-12-2024, 16:40:26","28499","28599","100","vicini dello zero","110.0"
"04-12-2024, 16:40:26","50599","50699","100","vicini dello zero","322.0"
"04-12-2024, 16:40:26","97599","97699","100","vicini dello zero","264.0"
"04-12-2024, 16:40:26","139799","139899","100","vicini dello zero","314.0"
"04-12-2024, 16:40:26","170699","170799","100","vicini dello zero","364.0"
"04-12-2024, 16:40:26","199799","199899","100","vicini dello zero","234.0"
"04-12-2024, 16:40:26","208299","208399","100","vicini dello zero","266.0"
"04-12-2024, 16:40:26","272199","272299","100","vicini dello zero","280.0"
"04-12-2024, 16:40:26","272399","272499","100","vicini dello zero","114.0"
"04-12-2024, 16:40:26","348199","348299","100","vicini dello zero","110.0"
"04-12-2024, 16:40:26","384799","384899","100","vicini dello zero","178.0"
"04-12-2024, 16:40:26","408499","408599","100","vicini dello zero","282.0"
"04-12-2024, 16:40:26","470799","470899","100","vicini dello zero","278.0"
"04-12-2024, 16:40:26","482999","483099","100","vicini dello zero","382.0"
"04-12-2024, 16:40:26","516099","516199","100","vicini dello zero","432.0"
"04-12-2024, 16:40:26","520599","520699","100","vicini dello zero","428.0"
"04-12-2024, 16:40:26","579899","579999","100","vicini dello zero","460.0"
"04-12-2024, 16:40:26","591299","591399","100","vicini dello zero","438.0"
"04-12-2024, 16:40:26","631799","631899","100","vicini dello zero","290.0"
"04-12-2024, 16:40:26","638799","638899","100","vicini dello zero","286.0"
"04-12-2024, 16:40:26","647899","647999","100","vicini dello zero","336.0"
"04-12-2024, 16:40:26","666599","666699","100","vicini dello zero","314.0"
"04-12-2024, 16:40:26","714399","714499","100","vicini dello zero","130.0"
"04-12-2024, 16:40:26","716499","716599","100","vicini dello zero","108.0"
"04-12-2024, 16:40:26","716799","716899","100","vicini dello zero","266.0"
"04-12-2024, 16:40:26","755599","755699","100","vicini dello zero","298.0"
"04-12-2024, 16:40:26","755799","755899","100","vicini dello zero","42.0"
"04-12-2024, 16:40:26","835699","835799","100","vicini dello zero","-88.0"
"04-12-2024, 16:40:26","849199","849299","100","vicini dello zero","-20.0"
"04-12-2024, 16:40:26","859099","859199","100","vicini dello zero","156.0"
"04-12-2024, 16:40:26","861799","861899","100","vicini dello zero","170.0"
"04-12-2024, 16:40:26","909499","909599","100","vicini dello zero","292.0"
"04-12-2024, 16:40:26","911599","911699","100","vicini dello zero","72.0"
"04-12-2024, 16:40:26","949999","950099","100","vicini dello zero","50.0"
"04-12-2024, 16:40:26","977299","977399","100","vicini dello zero","82.0"
"04-12-2024, 16:40:26","991599","991699","100","vicini dello zero","60.0"
"04-12-2024, 16:40:26","1020799","1020899","100","vicini dello zero","56.0"
"04-12-2024, 16:40:26","1020999","1021099","100","vicini dello zero","88.0"
"04-12-2024, 16:40:26","1021499","1021599","100","vicini dello zero","102.0"
"04-12-2024, 16:40:26","1028599","1028699","100","vicini dello zero","116.0"
"04-12-2024, 16:40:26","1035899","1035999","100","vicini dello zero","130.0"
"04-12-2024, 16:40:26","1109099","1109199","100","vicini dello zero","108.0"
"04-12-2024, 16:40:26","1117799","1117899","100","vicini dello zero","14.0"
"04-12-2024, 16:40:26","1119799","1119899","100","vicini dello zero","10.0"
"04-12-2024, 16:40:26","1136199","1136299","100","vicini dello zero","-84.0"
"04-12-2024, 16:40:26","1151699","1151799","100","vicini dello zero","-250.0"
"04-12-2024, 16:40:26","1152499","1152599","100","vicini dello zero","-200.0"
"04-12-2024, 16:40:26","1192499","1192599","100","vicini dello zero","-258.0"
"04-12-2024, 16:40:26","1192799","1192899","100","vicini dello zero","-352.0"
"04-12-2024, 16:40:26","1243399","1243499","100","vicini dello zero","-284.0"
"04-12-2024, 16:40:26","1247399","1247499","100","vicini dello zero","-360.0"
"04-12-2024, 16:40:26","1259099","1259199","100","vicini dello zero","-418.0"
"04-12-2024, 16:40:26","1264299","1264399","100","vicini dello zero","-620.0"
"04-12-2024, 16:40:26","1281099","1281199","100","vicini dello zero","-606.0"
"04-12-2024, 16:40:26","1286499","1286599","100","vicini dello zero","-574.0"
"04-12-2024, 16:40:26","1362999","1363099","100","vicini dello zero","-506.0"
"04-12-2024, 16:40:26","1395199","1395299","100","vicini dello zero","-330.0"
"04-12-2024, 16:40:26","1447799","1447899","100","vicini dello zero","-280.0"
"04-12-2024, 16:40:26","1557499","1557599","100","vicini dello zero","-284.0"
"04-12-2024, 16:40:26","1558499","1558599","100","vicini dello zero","-288.0"
"04-12-2024, 16:40:26","1615199","1615299","100","vicini dello zero","-364.0"
"04-12-2024, 16:40:26","1630899","1630999","100","vicini dello zero","-224.0"
"04-12-2024, 16:40:26","1741499","1741599","100","vicini dello zero","-264.0"
"04-12-2024, 16:40:26","1745499","1745599","100","vicini dello zero","-322.0"
"04-12-2024, 16:40:26","1802399","1802499","100","vicini dello zero","-236.0"
"04-12-2024, 16:40:26","1811399","1811499","100","vicini dello zero","-186.0"
"04-12-2024, 16:40:26","1815999","1816099","100","vicini dello zero","-226.0"
"04-12-2024, 16:40:26","1844699","1844799","100","vicini dello zero","-320.0"
"04-12-2024, 16:40:26","1878799","1878899","100","vicini dello zero","-306.0"
"04-12-2024, 16:40:26","1909299","1909399","100","vicini dello zero","-400.0"
"04-12-2024, 16:40:26","1915899","1915999","100","vicini dello zero","-440.0"
"04-12-2024, 16:40:26","1947199","1947299","100","vicini dello zero","-444.0"
"04-12-2024, 16:40:26","1955499","1955599","100","vicini dello zero","-520.0"
"04-12-2024, 16:40:26","1960799","1960899","100","vicini dello zero","-542.0"
"04-12-2024, 16:40:26","1999999","2000099","100","vicini dello zero","-600.0"
"04-12-2024, 16:40:26","2034799","2034899","100","vicini dello zero","-694.0"
"04-12-2024, 16:40:26","2082699","2082799","100","vicini dello zero","-608.0"
"04-12-2024, 16:40:26","2150499","2150599","100","vicini dello zero","-630.0"
"04-12-2024, 16:40:26","2215699","2215799","100","vicini dello zero","-580.0"
"04-12-2024, 16:40:26","2248199","2248299","100","vicini dello zero","-692.0"
"04-12-2024, 16:40:26","2266899","2266999","100","vicini dello zero","-750.0"
"04-12-2024, 16:40:26","2282799","2282899","100","vicini dello zero","-736.0"
"04-12-2024, 16:40:26","2283999","2284099","100","vicini dello zero","-740.0"
"04-12-2024, 16:40:26","2292899","2292999","100","vicini dello zero","-618.0"
"04-12-2024, 16:40:26","2319199","2319299","100","vicini dello zero","-622.0"
"04-12-2024, 16:40:26","2360399","2360499","100","vicini dello zero","-698.0"
"04-12-2024, 16:40:26","2361499","2361599","100","vicini dello zero","-918.0"
"04-12-2024, 16:40:26","2371299","2371399","100","vicini dello zero","-850.0"
"04-12-2024, 16:40:26","2382199","2382299","100","vicini dello zero","-908.0"
"04-12-2024, 16:40:26","2386699","2386799","100","vicini dello zero","-768.0"
"04-12-2024, 16:40:26","2420299","2420399","100","vicini dello zero","-772.0"
"04-12-2024, 16:40:26","2483299","2483399","100","vicini dello zero","-956.0"
"04-12-2024, 16:40:26","2494399","2494499","100","vicini dello zero","-978.0"
"04-12-2024, 16:40:26","2497699","2497799","100","vicini dello zero","-1072.0"
"04-12-2024, 16:40:26","2502399","2502499","100","vicini dello zero","-1004.0"
"04-12-2024, 16:40:26","2545199","2545299","100","vicini dello zero","-1098.0"
"04-12-2024, 16:40:26","2573199","2573299","100","vicini dello zero","-1048.0"
"04-12-2024, 16:40:26","2579999","2580099","100","vicini dello zero","-908.0"
"04-12-2024, 16:40:26","2586799","2586899","100","vicini dello zero","-894.0"
"04-12-2024, 16:40:26","2620399","2620499","100","vicini dello zero","-934.0"
"04-12-2024, 16:40:26","2622299","2622399","100","vicini dello zero","-1100.0"
"04-12-2024, 16:40:26","2660999","2661099","100","vicini dello zero","-1032.0"
"04-12-2024, 16:40:26","2671899","2671999","100","vicini dello zero","-982.0"
"04-12-2024, 16:40:26","2736099","2736199","100","vicini dello zero","-986.0"
"04-12-2024, 16:40:26","2860799","2860899","100","vicini dello zero","-1098.0"
"04-12-2024, 16:40:26","2884999","2885099","100","vicini dello zero","-958.0"
"04-12-2024, 16:40:26","2917099","2917199","100","vicini dello zero","-1034.0"
"04-12-2024, 16:40:26","2958899","2958999","100","vicini dello zero","-1128.0"
"04-12-2024, 16:40:26","2981699","2981799","100","vicini dello zero","-1150.0"
"04-12-2024, 16:40:26","2982099","2982199","100","vicini dello zero","-1100.0"
"04-12-2024, 16:40:27","3073999","3074099","100","vicini dello zero","-1194.0"
"04-12-2024, 16:40:27","3091799","3091899","100","vicini dello zero","-1378.0"
"04-12-2024, 16:40:27","3098299","3098399","100","vicini dello zero","-1382.0"
"04-12-2024, 16:40:27","3102099","3102199","100","vicini dello zero","-1368.0"
"04-12-2024, 16:40:27","3152899","3152999","100","vicini dello zero","-1354.0"
"04-12-2024, 16:40:27","3161399","3161499","100","vicini dello zero","-1376.0"
"04-12-2024, 16:40:27","3209299","3209399","100","vicini dello zero","-1362.0"
"04-12-2024, 16:40:27","3210699","3210799","100","vicini dello zero","-1222.0"
"04-12-2024, 16:40:27","3323199","3323299","100","vicini dello zero","-1334.0"
"04-12-2024, 16:40:27","3323599","3323699","100","vicini dello zero","-1284.0"
"04-12-2024, 16:40:27","3384599","3384699","100","vicini dello zero","-1198.0"
"04-12-2024, 16:40:27","3395599","3395699","100","vicini dello zero","-1382.0"
"04-12-2024, 16:40:27","3407999","3408099","100","vicini dello zero","-1350.0"
"04-12-2024, 16:40:27","3491999","3492099","100","vicini dello zero","-1318.0"
"04-12-2024, 16:40:27","3503099","3503199","100","vicini dello zero","-1358.0"
"04-12-2024, 16:40:27","3530599","3530699","100","vicini dello zero","-1308.0"
"04-12-2024, 16:40:27","3554399","3554499","100","vicini dello zero","-1240.0"
"04-12-2024, 16:40:27","3555299","3555399","100","vicini dello zero","-1226.0"
"04-12-2024, 16:40:27","3579799","3579899","100","vicini dello zero","-1212.0"
"04-12-2024, 16:40:27","3652299","3652399","100","vicini dello zero","-1324.0"
"04-12-2024, 16:40:27","3653599","3653699","100","vicini dello zero","-1436.0"
"04-12-2024, 16:40:27","3665599","3665699","100","vicini dello zero","-1350.0"
"04-12-2024, 16:40:27","3714699","3714799","100","vicini dello zero","-1372.0"
"04-12-2024, 16:40:27","3746799","3746899","100","vicini dello zero","-1412.0"
"04-12-2024, 16:40:27","3749799","3749899","100","vicini dello zero","-1470.0"
"04-12-2024, 16:40:27","3759899","3759999","100","vicini dello zero","-1474.0"
"04-12-2024, 16:40:27","3799199","3799299","100","vicini dello zero","-1460.0"
"04-12-2024, 16:40:27","3808099","3808199","100","vicini dello zero","-1500.0"
"04-12-2024, 16:40:27","3857299","3857399","100","vicini dello zero","-1522.0"
"04-12-2024, 16:40:27","3873099","3873199","100","vicini dello zero","-1436.0"
"04-12-2024, 16:40:27","3936699","3936799","100","vicini dello zero","-1566.0"
"04-12-2024, 16:40:27","3944999","3945099","100","vicini dello zero","-1462.0"
"04-12-2024, 16:40:27","3951299","3951399","100","vicini dello zero","-1520.0"
"04-12-2024, 16:40:27","3975799","3975899","100","vicini dello zero","-1524.0"
"04-12-2024, 16:40:27","3985899","3985999","100","vicini dello zero","-1492.0"
"04-12-2024, 16:40:27","4007699","4007799","100","vicini dello zero","-1460.0"
"04-12-2024, 16:40:27","4070999","4071099","100","vicini dello zero","-1680.0"
"04-12-2024, 16:40:27","4074299","4074399","100","vicini dello zero","-1720.0"
"04-12-2024, 16:40:27","4113199","4113299","100","vicini dello zero","-1508.0"
"04-12-2024, 16:40:27","4119399","4119499","100","vicini dello zero","-1512.0"
"04-12-2024, 16:40:27","4121399","4121499","100","vicini dello zero","-1570.0"
"04-12-2024, 16:40:27","4182099","4182199","100","vicini dello zero","-1556.0"
"04-12-2024, 16:40:27","4184699","4184799","100","vicini dello zero","-1632.0"
"04-12-2024, 16:40:27","4188699","4188799","100","vicini dello zero","-1672.0"
"04-12-2024, 16:40:27","4197599","4197699","100","vicini dello zero","-1766.0"
"04-12-2024, 16:40:27","4216399","4216499","100","vicini dello zero","-1932.0"
"04-12-2024, 16:40:27","4250699","4250799","100","vicini dello zero","-1882.0"
"04-12-2024, 16:40:27","4255899","4255999","100","vicini dello zero","-1886.0"
"04-12-2024, 16:40:27","4259599","4259699","100","vicini dello zero","-1800.0"
"04-12-2024, 16:40:27","4330299","4330399","100","vicini dello zero","-1966.0"
"04-12-2024, 16:40:27","4337199","4337299","100","vicini dello zero","-2042.0"
"04-12-2024, 16:40:27","4339099","4339199","100","vicini dello zero","-2028.0"
"04-12-2024, 16:40:27","4383399","4383499","100","vicini dello zero","-2248.0"
"04-12-2024, 16:40:27","4448299","4448399","100","vicini dello zero","-2090.0"
"04-12-2024, 16:40:27","4456799","4456899","100","vicini dello zero","-2040.0"
"04-12-2024, 16:40:27","4463799","4463899","100","vicini dello zero","-2080.0"
"04-12-2024, 16:40:27","4464299","4464399","100","vicini dello zero","-2084.0"
"04-12-2024, 16:40:27","4513999","4514099","100","vicini dello zero","-2304.0"
"04-12-2024, 16:40:27","4548899","4548999","100","vicini dello zero","-2362.0"
"04-12-2024, 16:40:27","4611699","4611799","100","vicini dello zero","-2366.0"
"04-12-2024, 16:40:27","4658899","4658999","100","vicini dello zero","-2460.0"
"04-12-2024, 16:40:27","4663299","4663399","100","vicini dello zero","-2446.0"
"04-12-2024, 16:40:27","4674999","4675099","100","vicini dello zero","-2396.0"
"04-12-2024, 16:40:27","4830399","4830499","100","vicini dello zero","-2382.0"
"04-12-2024, 16:40:27","4853699","4853799","100","vicini dello zero","-2422.0"
"04-12-2024, 16:40:27","4863799","4863899","100","vicini dello zero","-2408.0"
"04-12-2024, 16:40:27","4887399","4887499","100","vicini dello zero","-2376.0"
"04-12-2024, 16:40:27","4890499","4890599","100","vicini dello zero","-2506.0"
"04-12-2024, 16:40:27","4893899","4893999","100","vicini dello zero","-2618.0"
"04-12-2024, 16:40:27","4894899","4894999","100","vicini dello zero","-2658.0"
"04-12-2024, 16:40:27","4910699","4910799","100","vicini dello zero","-2662.0"
"04-12-2024, 16:40:27","5031499","5031599","100","vicini dello zero","-2594.0"
"04-12-2024, 16:40:27","5033199","5033299","100","vicini dello zero","-2724.0"
"04-12-2024, 16:40:27","5044499","5044599","100","vicini dello zero","-2638.0"
"04-12-2024, 16:40:27","5050099","5050199","100","vicini dello zero","-2768.0"
"04-12-2024, 16:40:27","5111499","5111599","100","vicini dello zero","-2736.0"
"04-12-2024, 16:40:27","5113299","5113399","100","vicini dello zero","-2848.0"
"04-12-2024, 16:40:27","5147899","5147999","100","vicini dello zero","-2726.0"
"04-12-2024, 16:40:27","5206899","5206999","100","vicini dello zero","-2802.0"
"04-12-2024, 16:40:27","5222499","5222599","100","vicini dello zero","-2968.0"
"04-12-2024, 16:40:27","5269599","5269699","100","vicini dello zero","-2936.0"
"04-12-2024, 16:40:27","5301999","5302099","100","vicini dello zero","-3084.0"
"04-12-2024, 16:40:27","5307599","5307699","100","vicini dello zero","-3160.0"
"04-12-2024, 16:40:27","5310099","5310199","100","vicini dello zero","-3326.0"
"04-12-2024, 16:40:27","5324899","5324999","100","vicini dello zero","-3276.0"
"04-12-2024, 16:40:27","5348499","5348599","100","vicini dello zero","-3334.0"
"04-12-2024, 16:40:27","5348999","5349099","100","vicini dello zero","-3338.0"
"04-12-2024, 16:40:27","5350199","5350299","100","vicini dello zero","-3396.0"
"04-12-2024, 16:40:27","5394499","5394599","100","vicini dello zero","-3418.0"
"04-12-2024, 16:40:27","5427099","5427199","100","vicini dello zero","-3566.0"
"04-12-2024, 16:40:27","5486799","5486899","100","vicini dello zero","-3804.0"
"04-12-2024, 16:40:27","5513999","5514099","100","vicini dello zero","-3736.0"
"04-12-2024, 16:40:27","5607199","5607299","100","vicini dello zero","-3704.0"
"04-12-2024, 16:40:27","5610899","5610999","100","vicini dello zero","-3726.0"
"04-12-2024, 16:40:27","5619199","5619299","100","vicini dello zero","-3766.0"
